R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types
{'res_id': 4000302},7d280e0c8e0c9327cd892eac713015f6,4000302,Bangs,https://www.zomato.com/patna/bangs-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Shop 102-103, Highway Services Campus, Opposite Transport Nagar, New Bypass Road', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"American, Fast Food",600,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/bangs-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/bangs-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000302,0,https://www.zomato.com/patna/bangs-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000271},7d280e0c8e0c9327cd892eac713015f6,4000271,City Foods,https://www.zomato.com/CItyFoods?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'B-2, Shiv Laxmi Plaza, Opposite Rajendra Nagar Terminal, Main Road, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6020887557', 'longitude': '85.1614887223', 'zipcode': '800020', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Chinese",400,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/CItyFoods/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/CItyFoods/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000271,0,https://www.zomato.com/CItyFoods/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000177},7d280e0c8e0c9327cd892eac713015f6,4000177,Rozy Sweets & Snacks,https://www.zomato.com/patna/rozy-sweets-snacks-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Nala Road, Kadam Kuan, R.K. Avenue, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6120750000', 'longitude': '85.1513833333', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/7/4000177/2641363451b2827a2c8f6ce25ce33657_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/rozy-sweets-snacks-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/rozy-sweets-snacks-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/7/4000177/2641363451b2827a2c8f6ce25ce33657_featured_v2.jpg,0,0,zomato://restaurant/4000177,0,https://www.zomato.com/patna/rozy-sweets-snacks-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000347},7d280e0c8e0c9327cd892eac713015f6,4000347,Bawarchi,https://www.zomato.com/patna/bawarchi-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '5 MIGH, Kankarbagh Colony More, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Chinese",600,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/bawarchi-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/bawarchi-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000347,0,https://www.zomato.com/patna/bawarchi-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000212},7d280e0c8e0c9327cd892eac713015f6,4000212,Gokul,https://www.zomato.com/patna/gokul-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'The Premiere Square Building, East Gandhi Maidan, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6176916667', 'longitude': '85.1483777778', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/2/4000212/7bed7d1e0be1e66d3729dc0294122e98_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/gokul-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/gokul-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/2/4000212/7bed7d1e0be1e66d3729dc0294122e98_featured_v2.jpg,0,0,zomato://restaurant/4000212,0,https://www.zomato.com/patna/gokul-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000179},7d280e0c8e0c9327cd892eac713015f6,4000179,Brijwasi Mithaiwala,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Below Rajeswar Plaza, Baripath, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6148166667', 'longitude': '85.1543111111', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/9/4000179/4a5e05d1456ed85dcb280c4db5e5794f_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/9/4000179/4a5e05d1456ed85dcb280c4db5e5794f_featured_v2.jpg,0,0,zomato://restaurant/4000179,0,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000219},7d280e0c8e0c9327cd892eac713015f6,4000219,Galverch Bar - Hotel Gargee Grand,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Hotel Gargee Grand, Plot Number 825, Exhibition Road, Golambar, Patna', 'locality': 'Hotel Gargee Grand, Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6129277778', 'longitude': '85.1434388889', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Hotel Gargee Grand, Golambar, Patna'}",0,Finger Food,1000,3,Rs.,[],https://b.zmtcdn.com/data/pictures/9/4000219/2219d2aa733cbd3902cc78ba8ce0dd1a_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/9/4000219/2219d2aa733cbd3902cc78ba8ce0dd1a_featured_v2.jpg,0,0,zomato://restaurant/4000219,0,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000298},7d280e0c8e0c9327cd892eac713015f6,4000298,Food & Fun,https://www.zomato.com/patna/food-fun-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Jamal Road, Opposite Jagatarni Tower', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,"North Indian, Chinese, Mughlai",450,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/food-fun-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/food-fun-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000298,0,https://www.zomato.com/patna/food-fun-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000195},7d280e0c8e0c9327cd892eac713015f6,4000195,Chandan Hotel,https://www.zomato.com/patna/chandan-hotel-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Beside ICICI Bank, Exhibition Road, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6111722222', 'longitude': '85.1429833333', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,North Indian,300,1,Rs.,[],https://b.zmtcdn.com/data/pictures/5/4000195/836d20c534362912a0b87d5d48725863_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/chandan-hotel-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/chandan-hotel-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/5/4000195/836d20c534362912a0b87d5d48725863_featured_v2.jpg,0,0,zomato://restaurant/4000195,0,https://www.zomato.com/patna/chandan-hotel-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 18252410},7d280e0c8e0c9327cd892eac713015f6,18252410,Metro Mirchi,https://www.zomato.com/patna/metro-mirchi-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Khazanchi Road, Near Dr. Niraz Sinha Clinic, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,North Indian,0,1,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/metro-mirchi-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/metro-mirchi-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/18252410,0,https://www.zomato.com/patna/metro-mirchi-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 18255726},7d280e0c8e0c9327cd892eac713015f6,18255726,Shaurya Vihar Restaurant,https://www.zomato.com/patna/shaurya-vihar-restaurant-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Near P & M Mall, Kurji, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,"Biryani, Chinese, Mughlai, Seafood",0,1,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/shaurya-vihar-restaurant-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/shaurya-vihar-restaurant-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/18255726,0,https://www.zomato.com/patna/shaurya-vihar-restaurant-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000180},7d280e0c8e0c9327cd892eac713015f6,4000180,Raj Sweets,https://www.zomato.com/patna/raj-sweets-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Bakergunj Baripath, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6157555556', 'longitude': '85.1492527778', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/0/4000180/d4ee2ff83f875885fe3206812145e653_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/raj-sweets-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/raj-sweets-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/0/4000180/d4ee2ff83f875885fe3206812145e653_featured_v2.jpg,0,0,zomato://restaurant/4000180,0,https://www.zomato.com/patna/raj-sweets-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000158},7d280e0c8e0c9327cd892eac713015f6,4000158,Om Vihar,https://www.zomato.com/patna/om-vihar-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Commercial Conplex, Kadam Kuan, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6096000000', 'longitude': '85.1487111111', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, South Indian",500,2,Rs.,[],https://b.zmtcdn.com/data/pictures/8/4000158/716498e00aa06c04c0db8dfcda1cde6a_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/om-vihar-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/om-vihar-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/8/4000158/716498e00aa06c04c0db8dfcda1cde6a_featured_v2.jpg,0,0,zomato://restaurant/4000158,0,https://www.zomato.com/patna/om-vihar-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 18391064},7d280e0c8e0c9327cd892eac713015f6,18391064,Street cafe,https://www.zomato.com/patna/street-cafe-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'G 103 , PC Colony, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6003476552', 'longitude': '85.1549434128', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Chinese",200,1,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/street-cafe-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/street-cafe-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/18391064,0,https://www.zomato.com/patna/street-cafe-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000143},7d280e0c8e0c9327cd892eac713015f6,4000143,Swastik Khana Bhandar,https://www.zomato.com/patna/swastik-khana-bhandar-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Opposite Bank of India, Kadam Kuan Chauraha, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6125916667', 'longitude': '85.1512750000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Fast Food,200,1,Rs.,[],https://b.zmtcdn.com/data/pictures/3/4000143/ab482e52b860fc2132a15f010372e196_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/swastik-khana-bhandar-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/swastik-khana-bhandar-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/3/4000143/ab482e52b860fc2132a15f010372e196_featured_v2.jpg,0,0,zomato://restaurant/4000143,0,https://www.zomato.com/patna/swastik-khana-bhandar-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000171},7d280e0c8e0c9327cd892eac713015f6,4000171,Royal Biryani,https://www.zomato.com/patna/royal-biryani-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Opposite ICICI Bank, Anand Tower, Exhibition Road, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6094694444', 'longitude': '85.1424555556', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Biryani,400,2,Rs.,[],https://b.zmtcdn.com/data/pictures/1/4000171/d7f075ee88644d96fe01d1f31ba028df_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/royal-biryani-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/royal-biryani-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/1/4000171/d7f075ee88644d96fe01d1f31ba028df_featured_v2.jpg,0,0,zomato://restaurant/4000171,0,https://www.zomato.com/patna/royal-biryani-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000160},7d280e0c8e0c9327cd892eac713015f6,4000160,Swad Ka Tadka,https://www.zomato.com/patna/swad-ka-tadka-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Ground Floor, Ajit Arcade, R.K. Bhattacharya, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6090666667', 'longitude': '85.1434638889', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Fast Food, Chinese",600,2,Rs.,[],https://b.zmtcdn.com/data/pictures/0/4000160/b3af27aa8552fdb9385745185b41cdd4_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/swad-ka-tadka-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/swad-ka-tadka-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/0/4000160/b3af27aa8552fdb9385745185b41cdd4_featured_v2.jpg,0,0,zomato://restaurant/4000160,0,https://www.zomato.com/patna/swad-ka-tadka-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000187},7d280e0c8e0c9327cd892eac713015f6,4000187,Swaad,https://www.zomato.com/patna/swaad-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Hotel Vijayshree Deluxe, Exhibition Road, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,"North Indian, Chinese, Mughlai",700,2,Rs.,[],https://b.zmtcdn.com/data/pictures/7/4000187/78841ac3ee888f82b7471221e4b40de1_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/swaad-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/swaad-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/7/4000187/78841ac3ee888f82b7471221e4b40de1_featured_v2.jpg,0,0,zomato://restaurant/4000187,0,https://www.zomato.com/patna/swaad-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000346},7d280e0c8e0c9327cd892eac713015f6,4000346,Gaurav Restaurant,https://www.zomato.com/patna/gaurav-restaurant-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Hotel Vijayshree Deluxe, Exhibition Road, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,North Indian,600,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/gaurav-restaurant-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/gaurav-restaurant-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000346,0,https://www.zomato.com/patna/gaurav-restaurant-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000175},7d280e0c8e0c9327cd892eac713015f6,4000175,Food Inn,https://www.zomato.com/patna/food-inn-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Commercial Complex, Kadam Kuan, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6095888889', 'longitude': '85.1489944444', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,"North Indian, South Indian",400,2,Rs.,[],https://b.zmtcdn.com/data/pictures/5/4000175/a99465b9b3c8900e89a8d2005613a0e6_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/food-inn-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/food-inn-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/5/4000175/a99465b9b3c8900e89a8d2005613a0e6_featured_v2.jpg,0,0,zomato://restaurant/4000175,0,https://www.zomato.com/patna/food-inn-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
